maxdb,2004-08-28,3,8,3,1,3,5,7
maxdb,2004-11-26,7,9,2,0,1,7,2
maxdb,2006-05-20,13,2,4,1,0,2,2
maxdb,2005-11-21,15,2,0,1,1,1,0
maxdb,2004-09-27,8,10,0,2,2,6,0
maxdb,2006-01-20,13,3,1,1,3,2,0
maxdb,2005-12-21,11,2,2,1,2,6,0
maxdb,2005-08-23,10,3,0,5,0,4,4
maxdb,2006-04-20,7,1,7,1,1,6,0
maxdb,2004-07-29,8,3,1,2,2,3,0
maxdb,2004-10-27,7,7,3,2,3,6,2
maxdb,2005-01-25,10,4,3,0,0,4,1
maxdb,2005-07-24,8,4,3,1,0,3,1
maxdb,2004-12-26,6,15,3,2,2,3,2
maxdb,2006-03-21,8,3,6,0,3,2,0
maxdb,2005-06-24,2,10,8,5,2,7,0
maxdb,2006-02-19,11,0,1,0,1,7,0
maxdb,2006-06-19,7,4,2,1,3,0,1
maxdb,2005-10-22,13,1,1,1,1,3,0
maxdb,2004-06-29,1,28,11,42,18,20,10
mysql,2004-04-11,0,0,0,2,4,0,0
mysql,2001-04-27,1,40,2,13,23,24,0
mysql,2000-07-31,3,40,2,7,54,48,0
mysql,2001-06-26,5,16,7,8,14,17,0
mysql,2001-01-27,3,36,0,19,22,18,7
mysql,2003-11-13,0,7,0,0,0,0,0
mysql,2003-03-18,1,4,0,0,10,0,3
mysql,2001-09-24,0,21,0,0,10,9,3
mysql,2003-04-17,1,1,0,3,17,4,0
mysql,2004-05-11,0,0,0,0,6,0,0
mysql,2003-02-16,1,3,0,7,25,14,2
mysql,2004-08-09,0,0,0,4,2,2,0
mysql,2000-10-29,1,36,0,21,35,14,4
mysql,2004-03-12,0,0,0,0,2,4,0
mysql,2002-02-21,4,9,0,2,8,9,0
mysql,2001-07-26,1,27,2,18,19,14,3
mysql,2003-08-15,0,2,0,4,12,2,0
mysql,2002-05-22,0,5,0,0,16,9,0
mysql,2002-12-18,0,3,4,5,24,7,0
mysql,2003-05-17,1,4,2,4,21,0,0
mysql,2001-11-23,2,6,12,12,10,19,0
mysql,2001-05-27,2,22,9,27,27,18,8
mysql,2003-10-14,0,0,0,0,4,1,7
mysql,2001-10-24,1,17,6,4,20,20,0
mysql,2002-07-21,1,35,4,2,44,14,3
mysql,2002-09-19,2,16,4,0,26,14,0
mysql,2002-08-20,1,10,10,6,14,11,3
mysql,2000-08-30,1,27,0,2,31,34,5
mysql,2002-10-19,3,8,0,14,20,9,0
mysql,2001-12-23,0,12,2,10,10,5,0
mysql,2003-06-16,0,0,4,2,12,0,0
mysql,2003-09-14,1,3,0,0,6,4,0
mysql,2004-01-12,1,2,0,0,4,0,0
mysql,2004-02-11,0,0,0,0,4,0,0
mysql,2004-06-10,2,0,0,0,4,0,0
mysql,2004-07-10,0,3,0,0,0,1,0
mysql,2002-06-21,0,6,2,6,27,6,5
mysql,2001-08-25,0,32,4,7,19,14,0
mysql,2000-09-29,1,26,7,2,21,20,6
mysql,2002-03-23,0,20,6,0,32,6,0
mysql,2002-11-18,1,12,0,5,29,13,4
mysql,2003-01-17,1,9,0,20,32,3,0
mysql,2002-04-22,2,16,0,8,26,9,0
mysql,2000-11-28,1,35,5,20,42,33,13
mysql,2002-01-22,1,6,19,12,18,10,3
mysql,2001-03-28,0,45,3,22,46,29,11
mysql,2003-12-13,0,0,0,0,0,0,0
mysql,2003-07-16,0,0,0,2,4,2,0
mysql,2001-02-26,0,46,10,13,35,27,6
mysql,2000-12-28,2,28,8,26,17,27,9
